 ,,,,,,,,,,Dimensions,Measures,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Monthly Avg/Sunday,Sum Per Month,,,Year,Attendees,,,,,,,,
January,223,189,168,166,,187,746,,,Month,,,,,,,,,
February,187,221,164,224,,199,796,,,Week,,,,,,,,,
March,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
April,,,,,,  -   ,  -   ,,,,,,,,,,,,
May,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
June,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
July,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
August,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
September,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
October,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
November,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
December,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
,,,,,,#DIV/0!,129,"1,542",,,,,,,,,,,
Youth and family,,,,,,,,,,,,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Sunday,Sum Per Month,,,Year,Attendees,,,,,,,,
January,,,,,,,,,,Month,,,,,,,,,
Nursery,5,6,5,6,,,,,,Week,,,,,,,,,
Elementary,7,10,6,5,,,,,,AgeGroup,,,,,,,,,
Pre-Teens,0,2,2,1,,,,,,,,,,,,,,,
Teens,6,5,0,4,,,,,,,,,,,,,,,
January Totals,18,23,13,16,0,14,70,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,
Nursery,5,6,4,7,,,,,,,,,,,,,,,
Elementary,3,8,3,6,,,,,,,,,,,,,,,
Pre-Teens,2,0,3,3,,,,,,,,,,,,,,,
Teens,6,2,2,10,,,,,,,,,,,,,,,
February Totals,16,16,12,26,,18,70,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Pre-Teens,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
March Totals,0,,0,0,,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Pre-Teens,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
April Totals,,0,0,,0,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Teens,,,,, ,,,,,,,,,,,,,,
May Totals,0,0,0,0,,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
June Totals,0,0,0,0,,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
July Totals,0,0,0,0,0,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Preteens,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
August Totals,0,0,0,0,0,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Preteens,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
September Totals,0,0,0,0,0,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,, ,,,,,,,,,,,,,,
Elementary,,,,, ,,,,,,,,,,,,,,
Preteens,,,,, ,,,,,,,,,,,,,,
Teens,,,,, ,,,,,,,,,,,,,,
October Totals,0,0,0,0,,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Preteens,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
November Totals,0,0,0,0,,  -   ,  -   ,,,,,,,,,,,,
Nursery,,,,,,,,,,,,,,,,,,,
Elementary,,,,,,,,,,,,,,,,,,,
Preteens,,,,,,,,,,,,,,,,,,,
Teens,,,,,,,,,,,,,,,,,,,
December Totals,0,0,0,0,,  -   ,  -   ,,,,,,,,,,,,
,,,,,,3,12,140,,,,,,,,,,,
Newcomers,,,,,,,,,,,,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Sunday,Sum Per Month,,,Year,Newcomers,,,,,,,,
January,15,15,12,10,,13,52,,,Month,,,,,,,,,
February,15,8,10,5,,10,38,,,Week,,,,,,,,,
March,,,,,,#DIV/0!,0,,,,,,,,,,,,
April,,,,,,#DIV/0!,0,,,,,,,,,,,,
May,,,,,,#DIV/0!,0,,,,,,,,,,,,
June,,,,,,#DIV/0!,0,,,,,,,,,,,,
July,,,,,,#DIV/0!,0,,,,,,,,,,,,
August,,,,,,#DIV/0!,0,,,,,,,,,,,,
